Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG
Kyle Singler,OKC,2,0,12.5,2,5,0.4,1,2,0.5,1,3,0.333,0.5,0.5,1.5,0.333,0,1.5,1.5,0,0,0,0,1.5,5.5
Marcus Smart,BOS,24,4,30.8,3,9.5,0.317,1.3,4.5,0.294,1.7,4.9,0.339,0.388,2,2.8,0.731,0.9,3.2,4.1,5.4,1.2,0.5,2.4,2.5,9.4
Dennis Smith,DAL,23,23,28.1,5.7,14.5,0.395,1.5,4.8,0.306,4.3,9.7,0.439,0.446,1.4,2.2,0.66,0.9,3.2,4,4,0.8,0.3,3,2,14.4
Ish Smith,DET,24,0,19.4,4,8.3,0.49,0.2,0.8,0.211,3.9,7.5,0.52,0.5,0.8,1.2,0.655,0.3,1.8,2.1,3.8,0.4,0.3,1.1,1.5,9
J.R. Smith,CLE,25,22,31,3,7.7,0.389,1.9,5.6,0.338,1.1,2.2,0.519,0.51,0.3,0.6,0.571,0.4,2.6,3,2.2,1,0,1,2.5,8.2
Jason Smith,WAS,9,2,9,0.8,3.1,0.25,0.1,1.4,0.077,0.7,1.7,0.4,0.268,0.8,0.8,1,0.9,0.7,1.6,0.1,0.1,0.6,0.3,1.8,2.4
Josh Smith,NOP,3,0,4,0.3,1.3,0.25,0,0,0,0.3,1.3,0.25,0.25,0,0,0,1,0.3,1.3,0,0,0,0,1,0.7
Tony Snell,MIL,23,21,31.7,3.2,6,0.525,1.7,3.6,0.476,1.5,2.5,0.596,0.665,0.5,0.7,0.75,0.2,1.8,2,1.7,0.7,0.3,0.5,1.6,8.6
Marreese Speights,ORL,20,0,11.5,2.6,6.5,0.403,1.8,4.4,0.398,0.9,2.1,0.415,0.539,0.4,0.7,0.571,0.4,1.9,2.2,0.5,0.2,0.3,0.6,1.9,7.4
Nik Stauskas,PHI,6,0,7.5,0.2,0.7,0.25,0,0.2,0,0.2,0.5,0.333,0.25,0.3,0.3,1,0,0.2,0.2,0.2,0.7,0,0.7,0.5,0.7
Lance Stephenson,IND,25,1,21.4,3.1,7.2,0.433,0.7,2.2,0.309,2.4,5,0.488,0.481,1.1,1.8,0.6,0.8,4,4.8,2.5,0.6,0.2,1.5,1.8,8
Julyan Stone,CHO,2,0,9,1,2,0.5,1,2,0.5,0,0,0,0.75,0,0,0,0,2.5,2.5,1,1,0,1,1.5,3
Caleb Swanigan,POR,13,3,9.8,1.1,3.1,0.35,0.1,0.4,0.2,1,2.7,0.371,0.363,0.6,1,0.615,0.9,1.8,2.8,0.7,0.3,0.2,0.8,1.8,2.8
Jayson Tatum,BOS,26,26,30.5,4.7,9.2,0.508,1.6,3,0.519,3.1,6.1,0.503,0.595,3.2,3.8,0.828,0.8,4.7,5.5,1.4,1,0.8,1.3,2.3,14
