Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG
Alex Abrines,OKC,22,1,15.8,1.4,3.9,0.365,0.8,2.5,0.309,0.6,1.4,0.467,0.465,0.4,0.5,0.75,0.4,1.1,1.5,0.5,0.6,0.1,0.4,2,4
Quincy Acy,BRK,19,0,17.5,1.6,4.7,0.333,1.3,3.8,0.342,0.3,0.9,0.294,0.472,1.2,1.4,0.846,0.5,3.2,3.7,0.7,0.4,0.2,1.1,2.1,5.6
Steven Adams,OKC,21,21,31.2,5.8,9,0.64,0,0,0,5.8,9,0.64,0.64,1.9,2.9,0.656,4.6,3.8,8.4,0.8,1.4,1,1.9,2.7,13.4
Bam Adebayo,MIA,15,6,15.2,2,3.3,0.6,0,0,0,2,3.3,0.6,0.6,1.3,1.7,0.731,1.5,2.3,3.8,0.1,0.8,0.6,0.7,1.5,5.3
Arron Afflalo,ORL,20,0,12.5,0.8,2.4,0.333,0.3,1.2,0.261,0.5,1.3,0.4,0.396,0.4,0.6,0.667,0.1,1.5,1.6,0.6,0.1,0.2,0.4,1.1,2.3
Cole Aldrich,MIN,5,0,2,0,0.4,0,0,0,0,0,0.4,0,0,0.2,0.4,0.5,0,0.2,0.2,0.2,0.2,0,0,0.4,0.2
LaMarcus Aldridge,SAS,24,24,33.3,8.7,17.2,0.504,0.6,1.6,0.385,8,15.6,0.516,0.522,4.6,5.5,0.847,3.1,4.9,8,2.2,0.6,1.2,1.5,2.5,22.6
Jarrett Allen,BRK,16,0,16,2.1,3.8,0.55,0.1,0.1,0.5,2,3.6,0.552,0.558,0.9,1.3,0.714,1.4,2.3,3.7,0.6,0.6,0.9,0.5,1.7,5.1
Tony Allen,NOP,21,0,12.9,2.1,4.3,0.484,0.2,0.6,0.333,1.9,3.8,0.506,0.505,0.5,1,0.524,1,1.3,2.2,0.4,0.5,0.1,0.9,2.3,4.9
Al-Farouq Aminu,POR,11,9,29.5,3.4,7.3,0.463,1.9,4.2,0.457,1.5,3.1,0.471,0.594,0.9,1.1,0.833,1.4,6,7.4,1.3,0.6,1,1.3,1.9,9.5
Justin Anderson,PHI,10,0,12.6,1.8,4.8,0.375,0.9,2.6,0.346,0.9,2.2,0.409,0.469,0.5,0.7,0.714,1,1.7,2.7,0.3,0.3,0.1,0.4,1.9,5
Kyle Anderson,SAS,23,23,27.4,3.5,6.8,0.513,0.2,0.5,0.364,3.3,6.3,0.524,0.526,1.7,2.3,0.755,1.3,4.6,6,3,1.2,0.8,1.3,1.6,8.9
Ryan Anderson,HOU,22,21,29.5,4.4,9.2,0.473,3,7.1,0.423,1.4,2.1,0.638,0.635,1,1.2,0.815,1.4,4.2,5.5,0.7,0.3,0.4,0.9,2,12.7
Ike Anigbogu,IND,6,0,2.8,0.2,0.8,0.2,0,0,0,0.2,0.8,0.2,0.2,0.3,0.3,1,0.3,0.3,0.7,0,0.2,0.2,0.3,0.2,0.7
Giannis Antetokounmpo,MIL,22,22,37.2,10.9,20,0.547,0.5,1.8,0.256,10.5,18.2,0.575,0.558,7.4,9.7,0.761,2,8.2,10.2,4.5,1.7,1.7,2.9,3.6,29.6
Carmelo Anthony,OKC,23,23,32.6,6.6,16.3,0.406,2.1,6.2,0.338,4.5,10.1,0.448,0.471,2.8,3.6,0.783,0.8,5.7,6.5,1.7,0.8,0.7,1.5,2.8,18.1
OG Anunoby,TOR,22,10,19,2.5,5,0.505,1.1,2.7,0.417,1.4,2.2,0.612,0.619,0.6,1,0.636,0.6,1.4,2,0.9,0.9,0,0.5,2,6.8
Ryan Arcidiacono,CHI,1,0,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Trevor Ariza,HOU,21,21,34,4,9,0.441,2.6,6.7,0.386,1.4,2.3,0.604,0.585,0.9,1,0.905,0.6,4,4.6,2,1.6,0.2,1,1.9,11.4
Darrell Arthur,DEN,3,0,8,0.3,2.3,0.143,0,1.3,0,0.3,1,0.333,0.143,0,0,0,0.3,0.7,1,0.3,0.3,0,0.7,1.3,0.7
Omer Asik,NOP,4,0,11.3,1.3,2.5,0.5,0,0,0,1.3,2.5,0.5,0.5,0.3,0.5,0.5,0.8,3.5,4.3,0.5,0,0,0.3,0.8,2.8
D.J. Augustin,ORL,19,6,19.6,2.7,5.4,0.505,1.1,2.3,0.477,1.6,3.1,0.525,0.607,1.9,2.3,0.837,0.3,1.6,1.8,3.4,0.7,0,1.7,1.5,8.5
Luke Babbitt,ATL,21,9,19.1,2.9,5.8,0.492,1.8,3.8,0.463,1.1,2,0.548,0.643,0.4,0.6,0.692,0.2,2.3,2.5,0.9,0.3,0.1,0.7,1.7,7.9
Dwayne Bacon,CHO,22,6,18.1,1.6,4.5,0.36,0.5,1.3,0.345,1.2,3.2,0.366,0.41,0.4,0.5,0.727,0,3.5,3.5,0.9,0.3,0.1,0.6,1.5,4.1
Ron Baker,NYK,7,0,12.4,0.7,1.7,0.417,0.6,0.9,0.667,0.1,0.9,0.167,0.583,1.1,2,0.571,0,0.6,0.6,2.7,1,0,1.1,0.9,3.1
Lonzo Ball,LAL,24,24,33.1,3.5,10.8,0.319,1.2,4.8,0.243,2.3,6,0.379,0.373,0.7,1.3,0.5,1.5,5.5,6.9,7,1.4,1,2.6,2,8.8
J.J. Barea,DAL,25,1,22.2,4.4,10.3,0.426,2,5,0.392,2.4,5.3,0.459,0.521,1.3,1.7,0.762,0.3,2.8,3,5.4,0.5,0,2.1,1.4,12
Harrison Barnes,DAL,25,25,35.1,6.6,15.1,0.439,1.2,3.5,0.33,5.5,11.6,0.472,0.478,4,4.8,0.835,1.2,6.4,7.6,2,0.6,0.1,1.8,1.6,18.5
Will Barton,DEN,24,5,30.3,5.7,12.1,0.471,2.2,5.1,0.423,3.5,7,0.506,0.56,2.2,3.1,0.703,0.8,4.4,5.3,2.9,1,0.5,1.8,2,15.8
Nicolas Batum,CHO,10,10,29.2,3.9,10.1,0.386,1,4.3,0.233,2.9,5.8,0.5,0.436,2.2,2.7,0.815,0.6,3.8,4.4,4,0.9,0.3,2.2,1.4,11
Jerryd Bayless,PHI,18,8,27.7,3.3,7.6,0.438,1.6,3.9,0.394,1.8,3.7,0.485,0.54,1.4,1.7,0.806,0.4,2.2,2.6,1.8,0.6,0.2,1.4,2.6,9.6
Aron Baynes,BOS,26,15,17.6,2.3,4.8,0.476,0,0.1,0,2.3,4.7,0.488,0.476,1,1.5,0.692,1.8,3.3,5.2,0.9,0.3,0.7,0.9,2,5.7
Kent Bazemore,ATL,24,24,28.8,3.9,10.3,0.382,1.3,3.6,0.356,2.6,6.6,0.396,0.445,2.8,3.5,0.807,0.5,4,4.5,3.4,1.8,0.5,2.4,2.1,11.9
Bradley Beal,WAS,25,25,34.8,8.5,18.3,0.466,2.2,6,0.36,6.4,12.3,0.518,0.525,4.6,5.7,0.803,0.8,3.3,4.1,3.3,1.1,0.5,2.6,1.9,23.8
Malik Beasley,DEN,21,0,8.8,1.1,2.7,0.429,0.4,1.2,0.346,0.7,1.4,0.5,0.509,0.4,0.7,0.571,0.3,1.2,1.5,0.6,0.2,0,0.5,0.6,3.1
Michael Beasley,NYK,18,4,15.3,3.8,7.1,0.531,0.1,0.7,0.167,3.7,6.4,0.569,0.539,0.9,1.4,0.64,1,2.5,3.5,0.9,0.1,0.4,2,1.4,8.6
Marco Belinelli,ATL,24,0,25.7,4,9.9,0.403,2,5.1,0.393,2,4.8,0.414,0.504,2,2.2,0.942,0.2,2.2,2.4,2.5,1.1,0,1,0.8,12
Jordan Bell,GSW,20,2,10.7,2,2.7,0.722,0,0,0,2,2.7,0.722,0.722,0.1,0.1,0.5,1.1,2,3,1.1,0.6,1.1,0.7,1.6,4
DeAndre' Bembry,ATL,10,0,17.3,2.3,5.7,0.404,0.3,1.1,0.273,2,4.6,0.435,0.43,0.8,1.4,0.571,0.2,2.7,2.9,1.4,1,0.5,2.2,1.8,5.7
Dragan Bender,PHO,27,1,20.5,1.7,4.7,0.37,1.1,3.1,0.361,0.6,1.6,0.386,0.488,0.4,0.6,0.75,0.4,2.9,3.3,1,0.3,0.7,1,1.5,5
Davis Bertans,SAS,21,0,8.2,1.3,2.9,0.45,0.9,2.3,0.396,0.4,0.6,0.667,0.608,0.3,0.4,0.75,0.1,1,1.1,0.5,0.2,0.3,0.4,0.9,3.8
Patrick Beverley,LAC,11,11,30.4,4.4,10.8,0.403,2.2,5.5,0.4,2.2,5.4,0.407,0.504,1.3,1.5,0.824,1.5,2.6,4.1,2.9,1.7,0.5,2.3,3.1,12.2
Khem Birch,ORL,3,0,3.3,0.7,1.7,0.4,0,0,0,0.7,1.7,0.4,0.4,0,0,0,0.7,0,0.7,0.3,0,0,0,1,1.3
Jabari Bird,BOS,2,0,8,0,0.5,0,0,0.5,0,0,0,0,0,1.5,2.5,0.6,0,0.5,0.5,0,0,0,0,0.5,1.5
Bismack Biyombo,ORL,26,0,15.6,1.6,3.2,0.494,0,0,0,1.6,3.2,0.5,0.494,1.1,1.9,0.571,1.3,3.1,4.5,0.3,0.2,1.2,1.1,2,4.2
Nemanja Bjelica,MIN,18,0,15.3,2.7,4.6,0.578,1.2,2.3,0.512,1.5,2.3,0.643,0.705,0.6,0.7,0.917,0.4,2.4,2.8,0.7,0.6,0.2,0.7,1.7,7.1
Tarik Black,HOU,18,0,8.8,1.3,2.3,0.548,0,0.3,0,1.3,2,0.639,0.548,0.6,1,0.611,0.9,1.9,2.8,0.3,0.3,0.5,0.6,2,3.2
Antonio Blakeney,CHI,11,0,14.8,2.5,7,0.364,0.7,2.5,0.286,1.8,4.5,0.408,0.416,1.3,1.7,0.737,0.3,1.5,1.8,0.6,0.2,0,0.7,0.7,7.1
Eric Bledsoe,TOT,16,16,30.2,6,13.6,0.442,1.4,4.4,0.31,4.6,9.1,0.507,0.493,3.7,5.1,0.728,0.9,2.8,3.7,4.2,1.8,0.7,2.8,2.3,17.1
Eric Bledsoe,PHO,3,3,27.7,5.3,13.3,0.4,1.3,4.3,0.308,4,9,0.444,0.45,3.7,4.7,0.786,1,1.3,2.3,3,1.3,0.7,3.3,2,15.7
Eric Bledsoe,MIL,13,13,30.8,6.2,13.6,0.452,1.4,4.5,0.31,4.8,9.2,0.521,0.503,3.7,5.2,0.716,0.8,3.2,4,4.5,1.9,0.7,2.7,2.3,17.4
Vander Blue,LAL,4,0,7,0.3,0.8,0.333,0,0,0,0.3,0.8,0.333,0.333,0,0,0,0,0.3,0.3,0.3,0,0,0.5,0.5,0.5
Bogdan Bogdanovic,SAC,21,10,23.6,3.7,8.3,0.44,1,3.2,0.313,2.7,5.1,0.519,0.5,1.2,1.5,0.839,0.3,1.9,2.2,2.2,1.1,0.3,1.6,1.7,9.6
Bojan Bogdanovic,IND,25,25,31.3,5.6,11,0.505,2.2,5,0.448,3.3,6,0.553,0.607,1.7,2,0.843,0.3,2.8,3.1,1.3,0.6,0,1.1,1.6,15.1
Andrew Bogut,LAL,15,0,8.2,0.6,1,0.6,0,0,0,0.6,1,0.6,0.6,0,0,0,0.8,2.3,3.1,0.7,0.3,0.7,0.7,1.3,1.2
Joel Bolomboy,MIL,5,0,6.2,0.2,0.8,0.25,0,0.2,0,0.2,0.6,0.333,0.25,0.6,1.2,0.5,1,0.6,1.6,0,0.4,0,0.4,0.4,1
