Rk,Player,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
49,Eric Bledsoe,PG,MIL,13,13,30.8,6.2,13.6,0.452,1.4,4.5,0.31,4.8,9.2,0.521,0.503,3.7,5.2,0.716,0.8,3.2,4,4.5,1.9,0.7,2.7,2.3,17.4
50,Vander Blue,SG,LAL,4,0,7,0.3,0.8,0.333,0,0,,0.3,0.8,0.333,0.333,0,0,,0,0.3,0.3,0.3,0,0,0.5,0.5,0.5
51,Bogdan Bogdanovic,SG,SAC,21,10,23.6,3.7,8.3,0.44,1,3.2,0.313,2.7,5.1,0.519,0.5,1.2,1.5,0.839,0.3,1.9,2.2,2.2,1.1,0.3,1.6,1.7,9.6
52,Bojan Bogdanovic,SF,IND,25,25,31.3,5.6,11,0.505,2.2,5,0.448,3.3,6,0.553,0.607,1.7,2,0.843,0.3,2.8,3.1,1.3,0.6,0,1.1,1.6,15.1
53,Andrew Bogut,C,LAL,15,0,8.2,0.6,1,0.6,0,0,,0.6,1,0.6,0.6,0,0,,0.8,2.3,3.1,0.7,0.3,0.7,0.7,1.3,1.2
54,Joel Bolomboy,PF,MIL,5,0,6.2,0.2,0.8,0.25,0,0.2,0,0.2,0.6,0.333,0.25,0.6,1.2,0.5,1,0.6,1.6,0,0.4,0,0.4,0.4,1
55,Devin Booker,SG,PHO,25,25,34,8.5,18.8,0.453,2.5,6.5,0.383,6,12.3,0.49,0.519,4.8,5.5,0.87,0.6,4,4.5,4.1,0.9,0.3,3.2,3,24.3
56,Trevor Booker,PF,BRK,18,5,21.9,4.3,8.3,0.513,0.2,0.7,0.231,4.1,7.6,0.54,0.523,1.3,2.4,0.558,2.1,4.5,6.6,2.1,0.4,0.3,1.7,2.4,10.1
57,Avery Bradley,SG,DET,24,24,31.8,5.9,13.7,0.43,1.9,4.6,0.405,4,9,0.442,0.498,2.1,2.6,0.81,0.6,1.9,2.5,2.1,1.4,0.2,2.5,2.3,15.8
58,Tony Bradley,C,UTA,7,0,3,0.1,1.3,0.111,0,0.1,0,0.1,1.1,0.125,0.111,0.3,0.3,1,0.4,0.7,1.1,0.1,0,0,0,0.1,0.6
