Rk,Player,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
152,Langston Galloway,SG,DET,22,0,13.6,2.1,5.1,0.407,1.3,3.5,0.377,0.8,1.6,0.472,0.535,0.5,0.5,0.833,0.1,1.5,1.6,0.7,0.4,0.1,0.3,0.7,6
153,Marc Gasol,C,MEM,24,24,34.7,6.6,15.6,0.421,1.4,4.2,0.327,5.2,11.4,0.456,0.465,4.3,5.2,0.839,1.1,7.7,8.8,4.2,0.6,1.6,3,2.3,18.9
154,Pau Gasol,C,SAS,25,25,25.3,4.2,8.6,0.486,0.9,2.1,0.434,3.2,6.4,0.503,0.54,2,2.4,0.803,1.4,6.3,7.7,3.2,0.4,1.3,1.4,1.6,11.2
155,Rudy Gay,SF,SAS,23,2,22.8,4.6,9.7,0.469,0.7,2.2,0.314,3.9,7.5,0.514,0.504,2.3,2.9,0.806,1.3,4.1,5.3,1.7,1,0.6,1.7,2,12.2
156,Paul George,SF,OKC,23,23,37.1,7.2,17.3,0.416,3,7.5,0.407,4.1,9.8,0.422,0.504,3.3,4,0.815,0.8,5,5.8,3.3,2.5,0.6,2.8,2.9,20.7
157,Marcus Georges-Hunt,SG,MIN,9,0,1.7,0.2,0.4,0.5,0,0.1,0,0.2,0.3,0.667,0.5,0,0,,0.1,0,0.1,0.1,0.1,0,0.1,0.2,0.4
158,Taj Gibson,PF,MIN,26,26,33.2,4.5,8.3,0.549,0.2,0.7,0.278,4.3,7.6,0.574,0.56,2.1,2.5,0.833,2.8,5.6,8.3,1.6,0.9,0.6,1.4,2.6,11.4
159,Manu Ginobili,SG,SAS,21,0,20.9,2.9,7.1,0.407,0.9,3,0.297,2,4.1,0.488,0.47,1.6,1.9,0.872,0.3,1.9,2.2,2.4,0.7,0.2,1.9,2.1,8.3
160,Rudy Gobert,C,UTA,15,15,32.1,4.5,7.4,0.604,0,0,,4.5,7.4,0.604,0.604,3.2,4.5,0.706,2.7,7.3,10.1,1.3,0.7,2.3,2.2,2.7,12.1
161,Aaron Gordon,PF,ORL,24,24,33.9,6.6,13.3,0.495,2.3,5.5,0.406,4.3,7.8,0.559,0.58,3.3,4.3,0.765,1.5,6.8,8.3,2.2,1,0.9,1.5,1.9,18.7
162,Eric Gordon,SG,HOU,21,13,31.5,6,15.2,0.392,3,9.9,0.309,2.9,5.3,0.545,0.492,4,4.7,0.838,0.2,2,2.1,2.6,0.7,0.4,2.4,1.9,18.9
163,Marcin Gortat,C,WAS,25,25,29,3.9,7.5,0.524,0,0,,3.9,7.5,0.524,0.524,1.4,2.1,0.66,2.2,6.4,8.6,2,0.7,0.6,1.4,2.2,9.2
164,Treveon Graham,SG,CHO,13,0,17.2,1.5,3.8,0.4,0.5,1.5,0.316,1.1,2.4,0.452,0.46,0.5,0.8,0.7,0.8,1.4,2.2,1.3,0.7,0,0.5,2,4.1
165,Jerami Grant,PF,OKC,23,1,22.3,3,6,0.511,0.4,1.6,0.278,2.6,4.4,0.594,0.547,1.9,2.7,0.705,1.3,2.6,3.8,0.9,0.7,0.9,0.9,2.1,8.4
166,Jerian Grant,PG,CHI,23,14,24.7,3.1,7.5,0.413,0.8,2.6,0.305,2.3,4.9,0.469,0.465,2,2.5,0.776,0.6,2.2,2.8,4.9,0.8,0.1,1.5,1.8,8.9
167,Danny Green,SG,SAS,24,24,28.8,3.7,9,0.414,1.8,4.8,0.374,1.9,4.2,0.46,0.514,0.5,0.6,0.733,0.5,3.5,4,2.1,1.1,1.2,1.5,1.3,9.7
168,Draymond Green,PF,GSW,24,24,32,3.6,7.8,0.46,1.3,3.6,0.349,2.3,4.2,0.554,0.54,2,2.6,0.762,1.1,6.2,7.3,7.1,1.5,1.3,2.8,2.8,10.4
169,JaMychal Green,PF,MEM,12,12,26.3,4.2,8,0.521,0.9,2.3,0.407,3.3,5.8,0.565,0.578,1.4,1.8,0.773,1.6,3.9,5.5,1.1,0.4,0.1,1.2,2.7,10.7
170,Jeff Green,PF,CLE,25,0,21.2,3.8,7.5,0.505,0.6,1.8,0.311,3.2,5.7,0.566,0.543,2.3,2.8,0.841,0.9,2.5,3.4,1.6,0.7,0.3,1,2,10.5
171,Blake Griffin,PF,LAC,19,19,35.8,7.9,18.6,0.425,2.2,6.1,0.353,5.7,12.5,0.46,0.483,5.6,7.2,0.781,1.3,6.6,7.9,5.1,0.9,0.3,3,2.5,23.6
172,Daniel Hamilton,SG,OKC,1,0,4,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0
173,Tim Hardaway,SG,NYK,21,21,34.1,6.3,15.1,0.42,2.3,7.2,0.316,4,7.9,0.515,0.495,2.9,3.6,0.8,0.8,3.4,4.2,3.3,1.1,0.2,1.7,2.2,17.8
174,James Harden,SG,HOU,23,23,35.9,9.6,21,0.457,4.4,11,0.402,5.2,10,0.517,0.562,8,9.1,0.871,0.6,4.5,5.1,9.4,1.7,0.4,4.5,2.6,31.6
175,Maurice Harkless,SF,POR,24,19,23,2,4.8,0.414,0.4,1.6,0.256,1.6,3.2,0.494,0.457,0.8,1,0.75,0.8,2.4,3.2,0.6,0.8,0.9,0.8,1.7,5.2
176,Montrezl Harrell,C,LAC,17,2,10.7,2.2,3.4,0.638,0,0,,2.2,3.4,0.638,0.638,0.8,1.2,0.65,1.2,1.9,3.1,0.6,0.3,0.4,0.4,1.2,5.1
177,Devin Harris,PG,DAL,19,1,18.7,2.9,6.8,0.426,0.9,2.7,0.346,1.9,4.1,0.481,0.496,2.3,2.8,0.796,0.4,1.7,2.1,2,0.8,0.2,0.8,2.8,9
178,Gary Harris,SG,DEN,22,22,33.5,5.7,12.1,0.472,2.5,6,0.412,3.3,6.2,0.529,0.573,1.4,1.8,0.769,0.7,2,2.7,2.8,2,0.4,1.7,2,15.3
179,Joe Harris,SG,BRK,23,3,23.8,3.6,7.9,0.456,2.2,5.5,0.397,1.4,2.4,0.589,0.593,0.8,1.2,0.704,0.5,2.3,2.8,1.3,0.6,0.3,0.9,2.1,10.2
180,Tobias Harris,PF,DET,24,24,33.3,7.3,15,0.482,2.9,6.2,0.463,4.4,8.8,0.495,0.578,1.8,2,0.896,1,4.3,5.3,1.5,0.7,0.2,0.8,1.9,19.2
181,Andrew Harrison,PG,MEM,18,8,16.4,1.8,4.8,0.379,0.6,2.1,0.289,1.2,2.7,0.449,0.443,1.3,1.6,0.857,0.3,1.4,1.7,1.6,0.6,0.3,1,1.5,5.6
182,Josh Hart,SG,LAL,19,0,14.1,1.2,2.7,0.423,0.4,1.3,0.333,0.7,1.5,0.5,0.5,0.5,0.7,0.714,0.4,1.8,2.2,0.5,0.6,0.2,0.4,0.9,3.3
183,Udonis Haslem,C,MIA,2,0,4.5,0.5,0.5,1,0,0,,0.5,0.5,1,1,0,0,,0,0.5,0.5,0,0,0,0,0,1
184,Gordon Hayward,SF,BOS,1,1,5,1,2,0.5,0,1,0,1,1,1,0.5,0,0,,0,1,1,0,0,0,0,1,2
185,John Henson,C,MIL,22,15,23.3,3.1,5.5,0.566,0,0.1,0,3.1,5.5,0.575,0.566,0.9,1.9,0.476,1.9,4.8,6.6,1.4,0.4,1.5,1.4,2.8,7.2
186,Juan Hernangomez,PF,DEN,13,3,14.4,1.5,3.6,0.404,0.8,2.5,0.344,0.6,1.2,0.533,0.521,0.4,0.5,0.714,0.9,1.8,2.7,0.6,0.2,0.2,0.3,1.3,4.2
187,Willy Hernangomez,C,NYK,14,0,10.9,2.5,4.4,0.574,0.1,0.3,0.25,2.4,4.1,0.596,0.582,0.3,1.1,0.267,1.4,2.3,3.6,0.9,0.4,0.4,1.4,1.8,5.4
188,Mario Hezonja,SF,ORL,19,0,9.8,1.2,2.8,0.415,0.4,1.3,0.32,0.7,1.5,0.5,0.491,0.2,0.2,0.75,0.4,1.4,1.8,0.6,0.4,0.1,0.7,0.8,2.9
189,Buddy Hield,SG,SAC,22,7,22.4,4.6,10.3,0.445,1.9,4.1,0.451,2.7,6.2,0.441,0.535,1,1.1,0.88,0.7,3,3.7,1.6,1.2,0.2,1.4,1.9,12
190,Nene Hilario,C,HOU,16,0,14.4,2.9,4.4,0.662,0,0.1,0,2.9,4.3,0.681,0.662,2.1,2.8,0.75,0.8,2.4,3.2,1.1,0.6,0.4,1.2,2.7,7.9
191,George Hill,PG,SAC,22,22,25.8,3.3,7.4,0.444,1.1,2.5,0.436,2.2,4.9,0.449,0.519,1.3,1.7,0.784,0.4,2.5,3,2.4,0.9,0.3,1.2,1.6,9
192,Darrun Hilliard,SG,SAS,3,0,8.7,0.3,1.7,0.2,0,0.7,0,0.3,1,0.333,0.2,0,0,,0,0.7,0.7,0.3,0.3,0,1,1.3,0.7
193,Jrue Holiday,PG,NOP,25,25,36.4,6.7,14.4,0.468,1.3,4.8,0.275,5.4,9.6,0.565,0.514,2,2.3,0.845,0.6,3.6,4.3,5.6,1.2,0.4,2.6,2.5,16.7
194,Justin Holiday,SG,CHI,22,22,34.4,4.9,13.3,0.366,2.7,7.5,0.355,2.2,5.7,0.381,0.467,1.9,2.5,0.778,0.5,3.7,4.2,2.1,1.2,0.6,1.2,2,14.3
195,John Holland,SF,CLE,4,0,4.3,0.3,1,0.25,0.3,0.5,0.5,0,0.5,0,0.375,0,0,,0,0.5,0.5,0,0,0,0.3,0,0.8
196,Rondae Hollis-Jefferson,SF,BRK,21,20,27.3,5,10.4,0.482,0.2,0.9,0.278,4.8,9.5,0.5,0.493,4,5,0.808,1.3,4.2,5.5,2,0.9,0.7,1.5,1.9,14.2
197,Richaun Holmes,C,PHI,10,1,13.1,2.2,3.9,0.564,0.1,0.8,0.125,2.1,3.1,0.677,0.577,1,1.4,0.714,1.1,2.7,3.8,0.7,0.3,0.3,0.3,2,5.5
198,Rodney Hood,SG,UTA,18,9,28.3,6.2,14.7,0.419,2.8,7.1,0.402,3.3,7.7,0.435,0.515,2.6,2.8,0.92,0.3,2.3,2.6,1.8,0.7,0.2,1.9,1.9,17.7
199,Al Horford,C,BOS,24,24,32.5,5.6,10.3,0.549,1.5,3.3,0.456,4.1,7,0.593,0.622,1.5,2,0.787,1.3,6.8,8,5.4,0.6,1.1,2.2,1.7,14.3
200,Dwight Howard,C,CHO,23,23,29.1,5.6,10,0.558,0,0,0,5.6,10,0.561,0.558,3.9,7.8,0.497,3.6,8.5,12.1,1.2,0.5,1.1,3.7,3.3,15.1
201,Josh Huestis,PF,OKC,18,0,11.2,0.7,2.6,0.283,0.6,1.9,0.294,0.2,0.7,0.25,0.391,0.1,0.3,0.333,0.4,1.2,1.6,0.4,0.3,0.5,0.6,1.6,2.1
202,Vince Hunter,PF,MEM,1,0,3,1,1,1,0,0,,1,1,1,1,0,0,,1,1,2,0,0,0,1,0,2
203,Serge Ibaka,PF,TOR,20,20,27.2,4.9,9.9,0.495,1.5,4.3,0.349,3.4,5.6,0.607,0.571,1,1.5,0.655,0.8,5,5.7,0.6,0.4,1.4,1.2,3,12.3
204,Andre Iguodala,SF,GSW,22,1,26.1,2.4,5,0.473,0.5,1.9,0.268,1.9,3.1,0.594,0.523,1,1.6,0.639,1,2.8,3.8,3,0.8,0.6,0.8,1.2,6.3
205,Ersan Ilyasova,PF,ATL,13,7,21.3,2.5,6.9,0.356,0.8,3.3,0.256,1.6,3.6,0.447,0.417,0.8,1,0.769,1.5,3.5,5,0.8,1.3,0.3,0.4,2.4,6.5
206,Joe Ingles,SF,UTA,26,26,29.8,3.7,8.3,0.447,2.6,5.7,0.456,1.1,2.6,0.426,0.604,0.5,0.6,0.875,0.3,3.6,3.8,4,1.2,0.2,1.7,2.1,10.6
207,Brandon Ingram,SF,LAL,24,24,33.8,6,13.2,0.454,0.5,1.6,0.333,5.5,11.6,0.471,0.475,3.6,5.4,0.669,1,4.5,5.5,3,0.9,0.8,2.5,3.2,16.2
208,Kyrie Irving,PG,BOS,25,25,31.8,8.7,17.8,0.49,2.1,5.7,0.373,6.6,12.1,0.545,0.549,4,4.6,0.868,0.5,2.6,3.1,5,1.5,0.3,2.3,2.1,23.5
209,Jonathan Isaac,PF,ORL,12,2,19.9,2.3,5.1,0.459,0.4,1.4,0.294,1.9,3.7,0.523,0.5,1,1.2,0.857,0.9,3.5,4.4,0.8,0.7,1.3,1,2.1,6.1
210,Wesley Iwundu,SF,ORL,8,0,5.1,0.5,1.8,0.286,0,0,,0.5,1.8,0.286,0.286,0.1,0.4,0.333,0.1,0.8,0.9,0.5,0.1,0,0.4,0.5,1.1
211,Jarrett Jack,PG,NYK,22,21,26,2.5,6,0.421,0.4,1.1,0.32,2.2,4.9,0.444,0.451,0.4,0.5,0.75,0.2,3.1,3.3,6.1,0.5,0,1.7,1.5,5.9
212,Demetrius Jackson,PG,HOU,12,0,5.3,0.3,1.2,0.286,0,0.5,0,0.3,0.7,0.5,0.286,0,0,,0.3,0.6,0.9,0.4,0.3,0.1,0.8,0.5,0.7
213,Josh Jackson,SF,PHO,27,5,21.6,3.5,8.9,0.392,0.6,2.4,0.242,2.9,6.4,0.448,0.425,1.7,3.1,0.541,0.8,2.7,3.5,1.1,1.2,0.2,1.9,2.8,9.3
214,Justin Jackson,SF,SAC,17,5,18.2,2.5,6.2,0.406,0.9,2.7,0.326,1.6,3.5,0.467,0.476,0.4,0.6,0.6,0.4,1.2,1.6,0.4,0.2,0.1,0.8,0.9,6.3
215,Reggie Jackson,PG,DET,24,24,28.1,6,12.6,0.479,1.5,3.8,0.38,4.6,8.8,0.521,0.536,2.8,3.3,0.85,0.8,2.1,2.9,5.5,0.8,0,2.5,2.2,16.4
216,LeBron James,PF,CLE,25,25,37.2,11,18.7,0.587,2.1,4.8,0.43,8.9,13.8,0.642,0.642,4.2,5.5,0.761,1.2,6.8,8,8.6,1.4,1.2,4.1,1.7,28.2
217,Mike James,PG,PHO,27,10,21.5,3.7,9.8,0.377,0.8,3.1,0.262,2.9,6.7,0.431,0.419,2,2.6,0.771,0.4,2.5,2.9,3.8,0.9,0.3,1.6,1.4,10.2
218,Al Jefferson,C,IND,10,0,13.9,3.1,5.7,0.544,0,0.1,0,3.1,5.6,0.554,0.544,1,1.2,0.833,1.1,3.6,4.7,1.1,0.5,0.7,0.8,1.8,7.2
219,Richard Jefferson,SF,DEN,8,0,7,0.5,1.6,0.308,0.1,0.6,0.2,0.4,1,0.375,0.346,0.3,0.6,0.4,0,0.4,0.4,0.9,0,0,0,0.4,1.4
220,Jonas Jerebko,PF,UTA,21,10,16.9,2.3,4.7,0.495,1.1,2.4,0.46,1.2,2.3,0.531,0.611,0.4,0.5,0.8,0.9,2.9,3.7,0.8,0.4,0.1,0.4,2,6.1
221,Amir Johnson,C,PHI,22,2,15.1,1.8,3.7,0.494,0,0.5,0.091,1.8,3.2,0.557,0.5,0.5,1.1,0.417,2,3.5,5.5,1.2,0.6,0.9,0.9,2.8,4.1
222,Brice Johnson,PF,LAC,7,0,4,0.7,1.1,0.625,0,0.1,0,0.7,1,0.714,0.625,0.3,0.3,1,0.1,1.1,1.3,0.1,0.6,0.1,0.4,1,1.7
223,Dakari Johnson,C,OKC,11,3,6.9,0.9,1.9,0.476,0,0,,0.9,1.9,0.476,0.476,0.6,1.1,0.583,0.7,0.5,1.2,0.5,0.3,0.4,0.2,1.5,2.5
224,James Johnson,PF,MIA,23,6,27.4,4.1,8.3,0.492,1,2.7,0.365,3.1,5.6,0.555,0.552,1.8,2.7,0.689,0.9,4.2,5.1,4.2,1,0.7,2.7,2.9,11
225,Joe Johnson,SF,UTA,7,0,19.1,2.6,6.6,0.391,0.3,2.4,0.118,2.3,4.1,0.552,0.413,0.9,1,0.857,0.6,2.1,2.7,1.6,0.6,0.3,1.4,1,6.3
226,Stanley Johnson,SF,DET,21,20,29.9,2.8,7.6,0.363,1.1,3.8,0.291,1.7,3.9,0.432,0.434,1.1,1.5,0.719,0.3,3.3,3.7,1.4,1.2,0.2,1,2.6,7.7
227,Tyler Johnson,PG,MIA,23,0,27.2,3.5,9,0.385,1.6,4.5,0.346,1.9,4.5,0.423,0.471,1.8,2,0.911,0.4,2.7,3.1,2,0.7,0.7,1.2,2.1,10.3
228,Wesley Johnson,SF,LAC,23,14,25.9,2.9,6.6,0.434,1,3.1,0.319,1.9,3.5,0.538,0.51,0.8,1.1,0.72,0.5,3,3.5,1.1,1,1.1,1,2.5,7.5
229,Nikola Jokic,C,DEN,21,21,29.4,5.9,11.5,0.51,1.3,3.3,0.406,4.5,8.2,0.552,0.568,2.4,2.8,0.864,2.6,8,10.6,4.6,1.4,0.6,2.2,2.4,15.5
230,Derrick Jones,SF,PHO,6,0,5.5,0.3,0.7,0.5,0,0.3,0,0.3,0.3,1,0.5,0.8,1,0.833,0.3,0.3,0.7,0.5,0.2,0.7,0.2,0.3,1.5
231,Jalen Jones,SF,NOP,3,0,3.3,0.3,1,0.333,0.3,0.3,1,0,0.7,0,0.5,0.7,0.7,1,0,0.7,0.7,0,0,0,0,0.3,1.7
232,Tyus Jones,PG,MIN,26,3,17.3,1.4,3.3,0.424,0.5,1.3,0.382,0.9,2,0.451,0.5,0.7,0.8,0.773,0.2,1.7,1.9,2.8,1.1,0.1,0.6,1.1,3.9
233,DeAndre Jordan,C,LAC,23,23,32.4,4.6,6.7,0.686,0,0,,4.6,6.7,0.686,0.686,1.6,2.7,0.587,4.9,9.3,14.2,0.9,0.5,1.1,1.9,2.9,10.7
234,Cory Joseph,PG,IND,25,0,24.6,2.8,6.8,0.412,1.2,2.6,0.453,1.6,4.2,0.387,0.497,1,1.2,0.897,0.2,2.4,2.6,3,1.1,0.2,1.1,1.4,7.8
235,Frank Kaminsky,PF,CHO,22,0,23.3,3.9,9.2,0.424,1.1,3.3,0.342,2.8,5.9,0.469,0.485,1.6,2.1,0.766,0.5,3.4,4,1.4,0.3,0.2,0.9,1.3,10.6
236,Enes Kanter,C,NYK,21,21,26,5.9,9.5,0.618,0,0,0,5.9,9.4,0.621,0.618,2.1,2.3,0.917,3.8,6.7,10.5,1.3,0.6,0.5,1.8,2.5,13.8
237,Luke Kennard,SG,DET,19,0,16.2,2.4,5.6,0.425,1,2.4,0.413,1.4,3.2,0.433,0.514,0.6,0.8,0.733,0.1,1.4,1.5,1.2,0.6,0.1,1.1,0.9,6.3
238,Michael Kidd-Gilchrist,SF,CHO,17,17,25.8,3.9,8.2,0.475,0,0.1,0,3.9,8.1,0.478,0.475,1.1,1.5,0.731,1,3.3,4.3,0.6,0.6,0.8,0.4,2,8.9
239,Sean Kilpatrick,SG,BRK,16,0,11.4,1.6,5.4,0.291,0.7,2.6,0.262,0.9,2.8,0.318,0.355,1.1,1.2,0.947,0.1,2.1,2.2,0.9,0.1,0.1,1,0.5,4.9
240,Maxi Kleber,PF,DAL,19,10,15.7,2,3.7,0.535,0.4,1.3,0.28,1.6,2.4,0.674,0.585,0.5,0.8,0.667,1.1,2.1,3.2,0.4,0.3,0.5,0.4,1.5,4.9
241,Furkan Korkmaz,SG,PHI,5,0,2.4,0.2,1.2,0.167,0,0.8,0,0.2,0.4,0.5,0.167,0.4,0.4,1,0.2,0.4,0.6,0.2,0.2,0,0,0.2,0.8
242,Kyle Korver,SG,CLE,25,0,22.3,3.4,7.2,0.475,2.6,5.8,0.438,0.9,1.4,0.629,0.652,1.1,1.3,0.844,0.1,2,2.2,1,0.4,0.4,0.7,1.8,10.5
243,Kosta Koufos,C,SAC,24,1,18.4,2.1,3.9,0.538,0,0,,2.1,3.9,0.538,0.538,0.6,1.4,0.455,1.6,4,5.6,1.1,0.5,0.6,0.6,1.7,4.8
244,Kyle Kuzma,PF,LAL,23,11,30.4,6.2,12.7,0.49,1.7,4.4,0.376,4.6,8.3,0.55,0.555,2.1,2.7,0.762,1.5,4.9,6.3,1.5,0.4,0.1,2,2,16.2
245,Mindaugas Kuzminskas,SF,NYK,1,0,2,0,2,0,0,0,,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,0
246,Skal Labissiere,PF,SAC,23,9,17.1,3,6.9,0.443,0.2,0.4,0.444,2.9,6.5,0.443,0.456,1.4,1.7,0.8,1.3,2.7,4,0.7,0.4,0.7,1.1,2.2,7.7
247,Jeremy Lamb,SG,CHO,23,13,28,5.5,12.3,0.447,1.3,3.7,0.357,4.2,8.6,0.485,0.5,3,3.5,0.863,0.4,4.6,5,3.2,0.9,0.4,1.7,2,15.3
248,Shane Larkin,PG,BOS,18,0,9.9,0.9,3.3,0.283,0.4,1.4,0.32,0.5,1.9,0.257,0.35,0.6,0.7,0.917,0.1,0.8,0.8,1.2,0.4,0,0.2,1,2.9
249,Joffrey Lauvergne,C,SAS,12,0,11.3,1.5,3.5,0.429,0,0.3,0,1.5,3.3,0.462,0.429,0.5,0.8,0.6,1.4,2.2,3.6,0.8,0.3,0,0.8,1.6,3.5
250,Jake Layman,SF,POR,10,0,4.8,0.6,1.6,0.375,0.2,0.6,0.333,0.4,1,0.4,0.438,0,0,,0,0.5,0.5,0.2,0.3,0.2,0,0.5,1.4
251,T.J. Leaf,PF,IND,21,0,10.8,1.5,3.3,0.457,0.5,1,0.455,1,2.3,0.458,0.529,0.1,0.3,0.429,0.7,1.2,1.9,0.2,0.2,0.1,0.3,1.2,3.7
252,Courtney Lee,SG,NYK,24,24,32.5,5,10,0.498,1.7,3.6,0.465,3.3,6.4,0.516,0.582,1.5,1.7,0.925,0.5,3.1,3.6,2.9,1.4,0.1,1.3,1.4,13.1
253,Alex Len,C,PHO,23,2,22.2,3,6,0.507,0,0,,3,6,0.507,0.507,2.9,3.9,0.753,3.1,5.9,9,0.8,0.3,1,1.3,2.3,9
254,Meyers Leonard,PF,POR,9,0,10.1,2.2,3.8,0.588,0.7,1.3,0.5,1.6,2.4,0.636,0.676,0.6,0.8,0.714,0.4,2.2,2.7,0.4,0.2,0,0.2,1.7,5.7
255,Jon Leuer,PF,DET,8,0,17,1.9,4.5,0.417,0,0.4,0,1.9,4.1,0.455,0.417,1.6,1.9,0.867,0.9,3.1,4,0.6,0.1,0.4,1,2,5.4
256,Caris LeVert,SF,BRK,24,8,26.1,4.2,9.9,0.422,1,3.5,0.282,3.2,6.3,0.5,0.473,1.7,2.6,0.651,0.5,3.3,3.8,3.6,1.3,0.5,2.1,2.4,11
257,DeAndre Liggins,SG,MIL,20,0,16.1,0.9,2.6,0.333,0.5,1.5,0.333,0.4,1.1,0.333,0.431,0.1,0.3,0.4,0.1,1.3,1.4,0.8,0.9,0.4,0.6,1.8,2.3
258,Damian Lillard,PG,POR,24,24,37,8.2,19.4,0.422,2.6,7.8,0.332,5.6,11.6,0.482,0.488,6.8,7.3,0.926,1.1,4.1,5.2,6.3,1,0.5,3,1.5,25.7
259,Jeremy Lin,PG,BRK,1,1,25,5,12,0.417,1,2,0.5,4,10,0.4,0.458,7,7,1,0,0,0,4,0,0,3,3,18
260,Shaun Livingston,PG,GSW,23,1,15.2,2.1,4.3,0.485,0,0,0,2.1,4.3,0.49,0.485,0.5,0.6,0.786,0.7,1.2,1.8,2,0.4,0.3,0.8,1.5,4.7
261,Kevon Looney,C,GSW,19,0,10.5,1.3,2.3,0.545,0,0,,1.3,2.3,0.545,0.545,0.4,0.9,0.444,0.9,1.8,2.8,0.4,0.4,0.8,0.6,1.9,2.9
262,Brook Lopez,C,LAL,24,24,23,4.9,11,0.445,1.2,4,0.295,3.8,7.1,0.529,0.498,2.2,2.8,0.791,1.3,3.3,4.5,1.7,0.4,1.7,1.7,3,13.2
263,Robin Lopez,C,CHI,23,23,29.9,5.9,11.3,0.519,0.1,0.3,0.286,5.8,11,0.526,0.523,1.5,1.9,0.773,2.8,2.7,5.5,2.1,0.3,0.8,1.8,2.1,13.3
264,Kevin Love,C,CLE,25,25,29.4,6.1,13,0.471,1.9,5,0.373,4.2,8,0.533,0.543,5,5.6,0.9,2.5,8,10.5,1.8,0.7,0.4,2,2.4,19.2
265,Kyle Lowry,PG,TOR,22,22,32.8,5.4,11.8,0.458,3.1,7.4,0.417,2.3,4.4,0.526,0.588,2.7,3,0.894,0.6,5.6,6.3,7.1,0.9,0.1,2.6,2.4,16.6
266,Timothe Luwawu-Cabarrot,SF,PHI,23,0,16.5,2.3,5.8,0.403,1,3.3,0.32,1.3,2.6,0.508,0.493,1.1,1.5,0.743,0.4,1.3,1.8,0.9,0.3,0,0.9,2.1,6.9
267,Tyler Lydon,PF,DEN,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
268,Trey Lyles,PF,DEN,19,0,12.3,2.1,4.2,0.494,0.7,1.6,0.433,1.4,2.6,0.531,0.576,0.8,1.1,0.8,0.7,2.4,3.2,0.7,0.3,0.5,0.6,0.7,5.6
269,Shelvin Mack,PG,ORL,19,2,17.2,1.6,4.2,0.38,0.4,1.3,0.292,1.2,2.9,0.418,0.424,0.6,0.9,0.706,0.3,1.6,1.9,4.4,0.6,0.1,0.9,0.9,4.2
270,Josh Magette,PG,ATL,8,0,8,0.5,1.5,0.333,0.1,0.5,0.25,0.4,1,0.375,0.375,0.5,0.5,1,0.1,0.6,0.8,2.1,0.3,0,0.3,0.8,1.6
271,Ian Mahinmi,C,WAS,25,0,14.7,1.2,2.6,0.462,0,0,,1.2,2.6,0.462,0.462,1,1.4,0.743,1.9,2,3.9,0.5,0.5,0.4,1.2,3.2,3.4
272,Thon Maker,C,MIL,23,8,18.7,1.6,4.2,0.381,0.4,1.5,0.286,1.2,2.7,0.435,0.433,0.7,1,0.652,0.9,2.3,3.3,0.7,0.7,0.7,0.7,2.6,4.3
273,Boban Marjanovic,C,DET,5,0,6,1.8,3,0.6,0,0,,1.8,3,0.6,0.6,1.6,2.4,0.667,1,0.6,1.6,0.2,0.4,0.2,1.6,2,5.2
274,Lauri Markkanen,PF,CHI,23,23,30.6,5,12.8,0.39,2.3,6.8,0.331,2.7,6,0.457,0.478,2,2.5,0.825,1.1,6.8,7.9,1.4,0.6,0.6,1.4,1.8,14.3
275,Jarell Martin,PF,MEM,23,12,17.6,1.8,4.6,0.4,0.3,1.3,0.258,1.5,3.2,0.459,0.438,0.6,0.8,0.778,1,2.3,3.2,0.4,0.6,0.8,0.9,2.8,4.6
276,Frank Mason,PG,SAC,17,0,17.6,2.8,6.4,0.435,0.7,1.4,0.5,2.1,4.9,0.417,0.491,1.9,2.5,0.762,0.4,1.3,1.7,3.2,0.4,0,1.5,1.2,8.1
277,Mangok Mathiang,C,CHO,1,0,3,0,2,0,0,0,,0,2,0,0,0,0,,1,1,2,0,0,0,0,0,0
278,Wesley Matthews,SG,DAL,25,24,34.3,4,10.2,0.387,2.5,6.1,0.405,1.5,4.1,0.359,0.508,1.2,1.5,0.784,0.4,2.6,2.9,2.8,1.1,0.2,1.5,2.3,11.6
279,Luc Mbah a Moute,PF,HOU,21,3,26.3,2.8,5.8,0.484,1.2,2.9,0.41,1.6,2.9,0.557,0.586,0.9,1.2,0.72,0.5,2.9,3.4,1,1.4,0.5,1.4,2,7.7
280,James Michael McAdoo,PF,PHI,1,0,7,1,4,0.25,1,4,0.25,0,0,,0.375,2,2,1,0,0,0,0,0,0,1,0,5
281,Patrick McCaw,SG,GSW,23,1,13.2,1.5,3,0.493,0.6,1.4,0.406,0.9,1.6,0.568,0.587,0.3,0.4,0.778,0.2,0.7,0.9,1.4,0.6,0.2,0.4,0.9,3.8
282,C.J. McCollum,SG,POR,23,23,36.4,7.8,17.6,0.443,2.6,5.7,0.455,5.2,11.8,0.438,0.517,2.5,2.9,0.866,0.7,3.7,4.4,2.7,1,0.3,2,2.6,20.7
